SKU,TITLE,SEARCH_TEXT
SKU-00024,MountainSpring MountainSpring Still Water 24pk,"SKU: SKU-00024 | Vendor: MountainSpring | MountainSpring Still Water 24pk | Price: $4.29 | Size: 405.6 fl oz | Department: Beverages | Allergens: No major allergens | In Stock: Yes | Nutrition: 0 cal, Protein: 0g, Fat: 0g"
SKU-00026,LEAFBREW LeafBrew English Breakfast Tea 40ct,"SKU: SKU-00026 | Vendor: LEAFBREW | LeafBrew English Breakfast Tea 40ct | Price: $5.45 | Size: 40 ct | Department: Beverages | Allergens: No major allergens | In Stock: Yes | Nutrition: 0 cal, Protein: 0g, Fat: 0g"
SKU-00028,MountainSpring MountainSpring Coconut Water 11.2oz,"SKU: SKU-00028 | Vendor: MountainSpring | MountainSpring Coconut Water 11.2oz | Price: $2.99 | Size: 11.2 fl oz | Department: Beverages | Allergens: No major allergens. Contains coconut (tree nut) | In Stock: Yes | Nutrition: 20 cal, Protein: 0g, Fat: 0g"
SKU-00032,CRUNCHCRAFT CrunchCraft BBQ Chips 9oz,"SKU: SKU-00032 | Vendor: CRUNCHCRAFT | CrunchCraft BBQ Chips 9oz | Price: $4.49 | Size: 9 oz | Department: Snacks | Allergens: Contains milk | In Stock: Yes | Nutrition: 540 cal, Protein: 6g, Fat: 32g"
SKU-00033,NutHouse NutHouse Roasted Almonds 12oz,"SKU: SKU-00033 | Vendor: NutHouse | NutHouse Roasted Almonds 12oz | Price: $6.95 | Size: 12 oz | Department: Snacks | Allergens: Contains tree nuts (almonds) | In Stock: Yes | Nutrition: 580 cal, Protein: 21g, Fat: 49g"
SKU-00035,DarkBliss DarkBliss 72% Dark Chocolate Bar 3.5oz,"SKU: SKU-00035 | Vendor: DarkBliss | DarkBliss 72% Dark Chocolate Bar 3.5oz | Price: $4.99 | Size: 3.5 oz | Department: Snacks | Allergens: Contains milk and soy (lecithin) | In Stock: Yes | Nutrition: 560 cal, Protein: 8g, Fat: 42g"
SKU-00036,DarkBliss DarkBliss Milk Chocolate Almonds 5oz,"SKU: SKU-00036 | Vendor: DarkBliss | DarkBliss Milk Chocolate Almonds 5oz | Price: $5.49 | Size: 5 oz | Department: Snacks | Allergens: Contains milk, tree nuts (almonds), and soy | In Stock: Yes | Nutrition: 530 cal, Protein: 9g, Fat: 35g"
SKU-00040,CRUNCHCRAFT CrunchCraft Pretzel Thins 8oz,"SKU: SKU-00040 | Vendor: CRUNCHCRAFT | CrunchCraft Pretzel Thins 8oz | Price: $3.49 | Size: 8 oz | Department: Snacks | Allergens: Contains wheat (gluten) | In Stock: Yes | Nutrition: 380 cal, Protein: 10g, Fat: 4g"
SKU-00043,FreshGlow FreshGlow Moisturizing Shampoo 12oz,"SKU: SKU-00043 | Vendor: FreshGlow | FreshGlow Moisturizing Shampoo 12oz | Price: $6.99 | Size: 12 fl oz | Department: Hair Care | Allergens: Not a food product | In Stock: Yes | Nutrition: 0 cal, Protein: 0g, Fat: 0g"
SKU-00045,FreshGlow FreshGlow Bar Soap Oatmeal 4pk,"SKU: SKU-00045 | Vendor: FreshGlow | FreshGlow Bar Soap Oatmeal 4pk | Price: $4.74 | Size: 4 ct | Department: Body Care | Allergens: Not a food product | In Stock: Yes | Nutrition: 0 cal, Protein: 0g, Fat: 0g"
SKU-00048,FROSTBITE FrostBite Vanilla Ice Cream 48oz,"SKU: SKU-00048 | Vendor: FROSTBITE | FrostBite Vanilla Ice Cream 48oz | Price: $5.69 | Size: 48 fl oz | Department: Frozen | Allergens: Contains milk and eggs | In Stock: Yes | Nutrition: 210 cal, Protein: 4g, Fat: 11g"
SKU-00049,FrostBite FrostBite Mixed Vegetables 16oz,"SKU: SKU-00049 | Vendor: FrostBite | FrostBite Mixed Vegetables 16oz | Price: $2.37 | Size: 16 oz | Department: Frozen | Allergens: No major allergens | In Stock: Yes | Nutrition: 60 cal, Protein: 3g, Fat: 0g"
SKU-00050,FrostBite FrostBite Fish Sticks 12ct,"SKU: SKU-00050 | Vendor: FrostBite | FrostBite Fish Sticks 12ct | Price: $5.69 | Size: 12 ct | Department: Frozen | Allergens: Contains wheat (gluten) and fish | In Stock: Yes | Nutrition: 200 cal, Protein: 12g, Fat: 10g"
SKU-00054,HEARTHBAKED HearthBaked Blueberry Muffins 4ct,"SKU: SKU-00054 | Vendor: HEARTHBAKED | HearthBaked Blueberry Muffins 4ct | Price: $5.49 | Size: 4 ct | Department: Bakery | Allergens: Contains wheat (gluten), milk, soy, and eggs | In Stock: Yes | Nutrition: 380 cal, Protein: 5g, Fat: 16g"
SKU-00057,PrimeCut PrimeCut Boneless Chicken Breast 1.5lb,"SKU: SKU-00057 | Vendor: PrimeCut | PrimeCut Boneless Chicken Breast 1.5lb | Price: $8.49 | Size: 24 oz | Department: Meat & Poultry | Allergens: No major allergens | In Stock: Yes | Nutrition: 120 cal, Protein: 22g, Fat: 3g"
SKU-00059,PrimeCut PrimeCut Italian Sausage Links 5ct,"SKU: SKU-00059 | Vendor: PrimeCut | PrimeCut Italian Sausage Links 5ct | Price: $5.99 | Size: 5 ct | Department: Meat & Poultry | Allergens: No major allergens | In Stock: Yes | Nutrition: 300 cal, Protein: 16g, Fat: 24g"
SKU-00003,MorningField MorningField Bran Flakes 14oz,SKU: SKU-00003 | Vendor: MorningField | MorningField Bran Flakes 14oz | Price: $3.11 | Size: 14 oz | Department: Breakfast Cereals | Allergens: Contains wheat (gluten) | In Stock: Yes
SKU-00025,LeafBrew LeafBrew Green Tea Bags 20ct,SKU: SKU-00025 | Vendor: LeafBrew | LeafBrew Green Tea Bags 20ct | Price: $4.49 | Size: 20 ct | Department: Beverages | Allergens: No major allergens | In Stock: Yes
SKU-00010,MorningField MorningField Cinnamon Squares 14.5oz,SKU: SKU-00010 | Vendor: MorningField | MorningField Cinnamon Squares 14.5oz | Price: $4.19 | Size: 14.5 oz | Department: Breakfast Cereals | Allergens: Contains wheat (gluten) and soy | In Stock: Yes
SKU-00011,PureDairy PureDairy Whole Milk 1 Gallon,SKU: SKU-00011 | Vendor: PureDairy | PureDairy Whole Milk 1 Gallon | Price: $4.59 | Size: 128 fl oz | Department: Dairy | Allergens: Contains milk | In Stock: Yes
SKU-00008,SunriseGrains SunriseGrains Crunch 15oz,"SKU: SKU-00008 | Vendor: SunriseGrains | SunriseGrains Crunch 15oz | Price: $6.49 | Size: 15 oz | Department: Breakfast Cereals | Allergens: Contains wheat (gluten), milk, and soy | In Stock: Out of Stock | Nutrition: 380 cal, Protein: 20g, Fat: 5g"
SKU-00009,GoldenHarvest GoldenHarvest Variety 10pk,"SKU: SKU-00009 | Vendor: GoldenHarvest | GoldenHarvest Variety 10pk | Price: $4.99 | Size: 10 ct | Department: Breakfast Cereals | Allergens: Contains wheat, oats (gluten) and milk | In Stock: Yes | Nutrition: 370 cal, Protein: 8g, Fat: 6g"
SKU-00014,CreamValley CreamValley Strawberry 5.3oz,"SKU: SKU-00014 | Vendor: CreamValley | CreamValley Strawberry 5.3oz | Price: $1.49 | Size: 5.3 oz | Department: Dairy | Allergens: Contains milk | In Stock: Yes | Nutrition: 90 cal, Protein: 12g, Fat: 3g"
SKU-00015,CREAMVALLEY CREAMVALLEY Yogurt 6oz,"SKU: SKU-00015 | Vendor: CREAMVALLEY | CREAMVALLEY Yogurt 6oz | Price: $1.07 | Size: 6 oz | Department: Dairy | Allergens: Contains milk | In Stock: Yes | Nutrition: 90 cal, Protein: 5g, Fat: 2g"
SKU-00016,WisconsinPride WisconsinPride Cheddar 8oz,"SKU: SKU-00016 | Vendor: WisconsinPride | WisconsinPride Cheddar 8oz | Price: $4.99 | Size: 8 oz | Department: Dairy | Allergens: Contains milk | In Stock: Yes | Nutrition: 400 cal, Protein: 25g, Fat: 33g"
SKU-00022,FreshSqueeze FreshSqueeze Juice 64oz,"SKU: SKU-00022 | Vendor: FreshSqueeze | FreshSqueeze Juice 64oz | Price: $3.99 | Size: 64 fl oz | Department: Beverages | Allergens: No major allergens | In Stock: Yes | Nutrition: 50 cal, Protein: 0g, Fat: 0g"
SKU-00027,FRESHSQUEEZE FRESHSQUEEZE Lemonade 52oz,"SKU: SKU-00027 | Vendor: FRESHSQUEEZE | FRESHSQUEEZE Lemonade 52oz | Price: $3.79 | Size: 52 fl oz | Department: Beverages | Allergens: No major allergens | In Stock: Out of Stock | Nutrition: 40 cal, Protein: 0g, Fat: 0g"
SKU-00030,FreshSqueeze FreshSqueeze Cocktail 64oz,"SKU: SKU-00030 | Vendor: FreshSqueeze | FreshSqueeze Cocktail 64oz | Price: $3.49 | Size: 64 fl oz | Department: Beverages | Allergens: No major allergens | In Stock: Yes | Nutrition: 50 cal, Protein: 0g, Fat: 0g"
SKU-00034,NutHouse NutHouse Classic 16oz,"SKU: SKU-00034 | Vendor: NutHouse | NutHouse Classic 16oz | Price: $6.49 | Size: 16 oz | Department: Snacks | Allergens: Contains peanuts, tree nuts, milk, and soy | In Stock: Yes | Nutrition: 480 cal, Protein: 12g, Fat: 25g"
SKU-00037,CrunchCraft CrunchCraft Chips 10oz,"SKU: SKU-00037 | Vendor: CrunchCraft | CrunchCraft Chips 10oz | Price: $4.29 | Size: 10 oz | Department: Snacks | Allergens: Contains wheat (gluten) | In Stock: Yes | Nutrition: 420 cal, Protein: 7g, Fat: 15g"
SKU-00039,DarkBliss DarkBliss Bar 3oz,"SKU: SKU-00039 | Vendor: DarkBliss | DarkBliss Bar 3oz | Price: $4.49 | Size: 3 oz | Department: Snacks | Allergens: Contains milk, soy, and egg | In Stock: Yes | Nutrition: 540 cal, Protein: 6g, Fat: 32g"
SKU-00044,FreshGlow FreshGlow Repair 12oz,"SKU: SKU-00044 | Vendor: FreshGlow | FreshGlow Repair 12oz | Price: $7.12 | Size: 12 fl oz | Department: Hair Care | Allergens: Not a food product | In Stock: Yes | Nutrition: 0 cal, Protein: 0g, Fat: 0g"
SKU-00047,FrostBite FrostBite Tenders 24oz,"SKU: SKU-00047 | Vendor: FrostBite | FrostBite Tenders 24oz | Price: $8.07 | Size: 24 oz | Department: Frozen | Allergens: Contains wheat (gluten), milk, soy, and eggs | In Stock: Out of Stock | Nutrition: 210 cal, Protein: 18g, Fat: 10g"
SKU-00052,HearthBaked HearthBaked Loaf 24oz,"SKU: SKU-00052 | Vendor: HearthBaked | HearthBaked Loaf 24oz | Price: $4.99 | Size: 24 oz | Department: Bakery | Allergens: Contains wheat (gluten) | In Stock: Yes | Nutrition: 270 cal, Protein: 9g, Fat: 2g"
SKU-00055,HearthBaked HearthBaked Tortillas 10ct,"SKU: SKU-00055 | Vendor: HearthBaked | HearthBaked Tortillas 10ct | Price: $3.79 | Size: 10 ct | Department: Bakery | Allergens: Contains wheat (gluten) and soy | In Stock: Out of Stock | Nutrition: 310 cal, Protein: 8g, Fat: 8g"
SKU-00017,WisconsinPride WisconsinPride Shredded 16oz,SKU: SKU-00017 | Vendor: WisconsinPride | WisconsinPride Shredded 16oz | Price: $5.49 | Size: 16 oz | Department: Dairy | Allergens: Contains milk | In Stock: Yes
SKU-00021,FreshSqueeze FreshSqueeze Pulp 52oz,SKU: SKU-00021 | Vendor: FreshSqueeze | FreshSqueeze Pulp 52oz | Price: $4.19 | Size: 52 fl oz | Department: Beverages | Allergens: No major allergens | In Stock: Yes
SKU-00038,NutHouse NutHouse Salted 10oz,SKU: SKU-00038 | Vendor: NutHouse | NutHouse Salted 10oz | Price: $8.99 | Size: 10 oz | Department: Snacks | Allergens: Contains tree nuts (cashews) | In Stock: Out of Stock
SKU-00053,HearthBaked HearthBaked Bagels 6ct,"SKU: SKU-00053 | Vendor: HearthBaked | HearthBaked Bagels 6ct | Price: $4.49 | Size: 6 ct | Department: Bakery | Allergens: Contains wheat (gluten), milk, sesame, soy, and eggs | In Stock: Yes"
SKU-00056,PrimeCut PrimeCut 85/15 1lb,SKU: SKU-00056 | Vendor: PrimeCut | PrimeCut 85/15 1lb | Price: $6.99 | Size: 16 oz | Department: Meat & Poultry | Allergens: No major allergens | In Stock: Out of Stock
SKU-00058,PRIMECUT PRIMECUT Bacon 16oz,SKU: SKU-00058 | Vendor: PRIMECUT | PRIMECUT Bacon 16oz | Price: $6.29 | Size: 16 oz | Department: Meat & Poultry | Allergens: No major allergens | In Stock: Out of Stock
SKU-00060,PrimeCut PrimeCut Meat 8oz,SKU: SKU-00060 | Vendor: PrimeCut | PrimeCut Meat 8oz | Price: $4.99 | Size: 8 oz | Department: Meat & Poultry | Allergens: Contains soy | In Stock: Out of Stock
