SCRAPED_ID,PAGE_TITLE,PAGE_URL,BRAND_TEXT,DESCRIPTION_HTML,WEIGHT_TEXT,BREADCRUMB,PRICE_SCRAPED,ALLERGEN_TEXT,CAL_TEXT,FAT_TEXT,PROTEIN_TEXT,STAR_RATING,REVIEW_COUNT,AVAILABILITY,PROMO_BADGE,SCRAPED_AT
SCR-0023,MountainSpring Sparkling Water Lemon 12pk | MountainSpring | Buy Online,https://shopmart.example.com/products/mountainspring-sparkling-water-lemon-12pk,MountainSpring,"Naturally flavored sparkling mineral water, zero calories Perfect for the whole family! Great value.",144 fl oz,Home > Shop > Food > Beverages,5.49,No major allergens,0.0,0.0,0.0,3.1,121,In Stock,,2026-07-30T09:26:32.463000-07:00
SCR-0024,MountainSpring Still Water 24pk | MountainSpring | Buy Online,https://shopmart.example.com/products/mountainspring-still-water-24pk,MountainSpring,"Purified drinking water, sourced from mountain springs Perfect for the whole family! Great value.",405.6 fl oz,Home > Shop > Food > Beverages,4.29,No major allergens,0.0,0.0,0.0,4.3,121,In Stock,,2026-07-28T09:26:32.463000-07:00
SCR-0025,LeafBrew Green Tea Bags 20ct | LeafBrew | Buy Online,https://shopmart.example.com/products/leafbrew-green-tea-bags-20ct,LeafBrew,"Premium Japanese sencha green tea, individually wrapped Perfect for the whole family! Great value.",20ct,Home > Shop > Food > Beverages,4.49,No major allergens,1.0,0.0,0.0,3.3,14,In Stock,,2026-07-18T09:26:32.463000-07:00
SCR-0026,LeafBrew English Breakfast Tea 40ct | LeafBrew | Buy Online,https://shopmart.example.com/products/leafbrew-english-breakfast-tea-40ct,LEAFBREW,"Full-bodied black tea blend, classic morning tea Perfect for the whole family! Great value.",40 CT,Home > Shop > Food > Beverages,7.79,No major allergens,1.0,0.0,0.3,4.0,14,In Stock,,2026-07-31T09:26:32.463000-07:00
SCR-0027,FreshSqueeze Lemonade 52oz | FreshSqueeze | Buy Online,https://shopmart.example.com/products/freshsqueeze-lemonade-52oz,FRESHSQUEEZE,Old-fashioned lemonade made with real lemons and cane sugar Perfect for the whole family! Great value.,52fl oz,Home > Shop > Food > Beverages,4.93,,42.0,0.0,11.0,3.0,111,Low Stock,SALE - Save 20%!,2026-08-10T09:26:32.463000-07:00
SCR-0028,MountainSpring Coconut Water 11.2oz | MountainSpring | Buy Online,https://shopmart.example.com/products/mountainspring-coconut-water-11.2oz,MountainSpring,"100% pure coconut water, never from concentrate Perfect for the whole family! Great value.",11.2fl oz,Home > Shop > Food > Beverages,2.99,No major allergens. Contains coconut (tree nut),19.0,0.0,0.2,3.4,121,In Stock,,2026-07-27T09:26:32.463000-07:00
SCR-0029,LeafBrew Chai Latte Mix 10ct | LeafBrew | Buy Online,https://shopmart.example.com/products/leafbrew-chai-latte-mix-10ct,LeafBrew,Spiced chai tea latte mix with real cinnamon and cardamom Perfect for the whole family! Great value.,10 CT,Home > Shop > Food > Beverages,6.49,Contains milk,85.0,2.0,2.0,3.2,14,In Stock,,2026-08-08T09:26:32.463000-07:00
SCR-0030,FreshSqueeze Cranberry Juice Cocktail 64oz | FreshSqueeze | Buy Online,https://shopmart.example.com/products/freshsqueeze-cranberry-juice-cocktail-64oz,FreshSqueeze,"Cranberry juice cocktail from concentrate, 27% juice Perfect for the whole family! Great value.",64fl oz,Home > Shop > Food > Beverages,3.49,,46.0,0.0,0.0,4.1,111,In Stock,,2026-07-20T09:26:32.463000-07:00
SCR-0031,CrunchCraft Sea Salt Kettle Chips 7oz | CrunchCraft | Buy Online,https://shopmart.example.com/products/crunchcraft-sea-salt-kettle-chips-7oz,CrunchCraft,"Hand-cooked potato chips with sea salt, small batch crafted Perfect for the whole family! Great value.",7 OZ,Home > Shop > Food > Snacks,3.99,No major allergens. Made in a facility that processes milk,530.0,30.0,6.0,4.8,205,In Stock,,2026-08-02T09:26:32.463000-07:00
SCR-0032,CrunchCraft BBQ Chips 9oz | CrunchCraft | Buy Online,https://shopmart.example.com/products/crunchcraft-bbq-chips-9oz,CRUNCHCRAFT,Bold barbecue flavored ridged potato chips Perfect for the whole family! Great value.,9oz,Home > Shop > Food > Snacks,5.84,Contains milk,5.5,32.0,53.0,3.0,205,In Stock,,2026-07-21T09:26:32.463000-07:00
SCR-0033,NutHouse Roasted Almonds 12oz | NutHouse | Buy Online,https://shopmart.example.com/products/nuthouse-roasted-almonds-12oz,Nuthouse,"Dry roasted whole almonds, lightly salted Perfect for the whole family! Great value.",12oz,Home > Shop > Food > Snacks,7.99,Contains tree nuts (almonds),579.0,49.0,21.0,4.9,63,In Stock,,2026-07-12T09:26:32.463000-07:00
SCR-0034,NutHouse Trail Mix Classic 16oz | NutHouse | Buy Online,https://shopmart.example.com/products/nuthouse-trail-mix-classic-16oz,NutHouse,"Peanuts, raisins, sunflower seeds, M&Ms, and almonds Perfect for the whole family! Great value.",16oz,Home > Shop > Food > Snacks,6.49,,475.0,25.0,12.0,4.1,63,In Stock,,2026-07-20T09:26:32.463000-07:00
SCR-0035,DarkBliss 72% Dark Chocolate Bar 3.5oz | DarkBliss | Buy Online,https://shopmart.example.com/products/darkbliss-72%-dark-chocolate-bar-3.5oz,DarkBliss,"Premium dark chocolate, 72% cacao, single origin Ghana Perfect for the whole family! Great value.",3.5 OZ,Home > Shop > Food > Snacks,4.99,Contains milk and soy (lecithin),560.0,42.0,8.0,4.8,270,In Stock,,2026-08-02T09:26:32.463000-07:00
SCR-0036,DarkBliss Milk Chocolate Almonds 5oz | DarkBliss | Buy Online,https://shopmart.example.com/products/darkbliss-milk-chocolate-almonds-5oz,DarkBliss,Roasted almonds coated in smooth milk chocolate Perfect for the whole family! Great value.,5 oz,Home > Shop > Food > Snacks,5.49,"Contains milk, tree nuts (almonds), and soy",530.0,35.0,9.0,4.7,270,In Stock,,2026-07-24T09:26:32.463000-07:00
SCR-0037,CrunchCraft Multigrain Tortilla Chips 10oz | CrunchCraft | Buy Online,https://shopmart.example.com/products/crunchcraft-multigrain-tortilla-chips-10oz,CrunchCraft,Baked multigrain tortilla chips with flax and quinoa Perfect for the whole family! Great value.,10oz,Home > Shop > Food > Snacks,4.29,,420.0,15.0,7.0,3.7,205,In Stock,Best Seller,2026-07-14T09:26:32.463000-07:00
SCR-0038,NutHouse Cashews Salted 10oz | NutHouse | Buy Online,https://shopmart.example.com/products/nuthouse-cashews-salted-10oz,NutHouse,"Whole fancy cashews, roasted and salted Perfect for the whole family! Great value.",10oz,Home > Shop > Food > Snacks,8.99,,18.0,44.0,18.0,3.8,63,In Stock,SALE - Save 20%!,2026-07-23T09:26:32.463000-07:00
SCR-0039,DarkBliss White Chocolate Raspberry Bar 3oz | DarkBliss | Buy Online,https://shopmart.example.com/products/darkbliss-white-chocolate-raspberry-bar-3oz,DarkBliss,Creamy white chocolate with freeze-dried raspberry pieces Perfect for the whole family! Great value.,3oz,Home > Shop > Food > Snacks,4.49,,540.0,32.0,6.0,4.1,270,In Stock,,2026-07-20T09:26:32.463000-07:00
SCR-0040,CrunchCraft Pretzel Thins 8oz | CrunchCraft | Buy Online,https://shopmart.example.com/products/crunchcraft-pretzel-thins-8oz,CRUNCHCRAFT,"Thin and crispy pretzel crackers, baked not fried Perfect for the whole family! Great value.",8 OZ,Home > Shop > Food > Snacks,4.54,Contains wheat (gluten),380.0,3.5,79.0,4.0,205,In Stock,,2026-07-21T09:26:32.463000-07:00
SCR-0041,CleanHome All-Purpose Cleaner 32oz | CleanHome | Buy Online,https://shopmart.example.com/products/cleanhome-all-purpose-cleaner-32oz,CleanHome,"Multi-surface spray cleaner with lavender scent, plant-based formula Perfect for the whole family! Great value.",32 fl oz,Home > Shop > Household > Cleaning,4.49,Not a food product,0.0,0.0,0.0,3.1,97,In Stock,,2026-07-30T09:26:32.463000-07:00
SCR-0042,CleanHome Dish Soap Lemon 22oz | CleanHome | Buy Online,https://shopmart.example.com/products/cleanhome-dish-soap-lemon-22oz,CleanHome,"Concentrated dishwashing liquid, cuts through grease Perfect for the whole family! Great value.",22 fl oz,Home > Shop > Household > Cleaning,3.29,Not a food product,0.0,0.0,0.0,3.9,97,In Stock,,2026-07-22T09:26:32.463000-07:00
SCR-0043,FreshGlow Moisturizing Shampoo 12oz | FreshGlow | Buy Online,https://shopmart.example.com/products/freshglow-moisturizing-shampoo-12oz,FreshGlow,Sulfate-free hydrating shampoo for dry and damaged hair Perfect for the whole family! Great value.,12fl oz,Home > Shop > Personal Care > Hair Care,6.99,Not a food product,0.0,0.0,0.0,3.3,70,In Stock,,2026-07-18T09:26:32.463000-07:00
SCR-0044,FreshGlow Conditioner Repair 12oz | FreshGlow | Buy Online,https://shopmart.example.com/products/freshglow-conditioner-repair-12oz,FRESHGLOW,Deep conditioning treatment for damaged hair Perfect for the whole family! Great value.,12fl oz,Home > Shop > Personal Care > Hair Care,7.49,,0.0,0.0,0.0,4.5,70,Low Stock,Best Seller,2026-07-26T09:26:32.463000-07:00
SCR-0045,FreshGlow Bar Soap Oatmeal 4pk | FreshGlow | Buy Online,https://shopmart.example.com/products/freshglow-bar-soap-oatmeal-4pk,FreshGlow,Gentle oatmeal bar soap for sensitive skin Perfect for the whole family! Great value.,4 ct,Home > Shop > Personal Care > Body Care,4.99,Not a food product,0.0,0.0,0.0,3.9,70,In Stock,,2026-07-22T09:26:32.463000-07:00
SCR-0046,FrostBite Pepperoni Pizza 2pk | FrostBite | Buy Online,https://shopmart.example.com/products/frostbite-pepperoni-pizza-2pk,FrostBite,Thin crust pepperoni pizza with mozzarella and tomato sauce Perfect for the whole family! Great value.,2ct,Home > Shop > Food > Frozen,7.99,"Contains wheat (gluten), milk, and soy",240.0,10.0,11.0,3.4,160,In Stock,,2026-07-27T09:26:32.463000-07:00
SCR-0047,FrostBite Chicken Tenders 24oz | FrostBite | Buy Online,https://shopmart.example.com/products/frostbite-chicken-tenders-24oz,FrostBite,"Breaded chicken breast tenders, fully cooked Perfect for the whole family! Great value.",24oz,Home > Shop > Food > Frozen,8.49,,18.0,10.0,18.0,3.4,160,In Stock,SALE - Save 20%!,2026-07-17T09:26:32.463000-07:00
SCR-0048,FrostBite Vanilla Ice Cream 48oz | FrostBite | Buy Online,https://shopmart.example.com/products/frostbite-vanilla-ice-cream-48oz,FROSTBITE,Premium vanilla bean ice cream made with real vanilla Perfect for the whole family! Great value.,48fl oz,Home > Shop > Food > Frozen,7.79,Contains milk and eggs,3.5,11.0,24.0,3.0,160,In Stock,,2026-07-31T09:26:32.463000-07:00
SCR-0049,FrostBite Mixed Vegetables 16oz | FrostBite | Buy Online,https://shopmart.example.com/products/frostbite-mixed-vegetables-16oz,FrostBite,"Flash-frozen mixed vegetables: corn, peas, carrots, green beans Perfect for the whole family! Great value.",16 oz,Home > Shop > Food > Frozen,2.49,No major allergens,55.0,0.3,2.5,4.3,160,In Stock,,2026-07-28T09:26:32.463000-07:00
SCR-0050,FrostBite Fish Sticks 12ct | FrostBite | Buy Online,https://shopmart.example.com/products/frostbite-fish-sticks-12ct,FrostBite,"Wild-caught pollock fish sticks, breaded and pre-cooked Perfect for the whole family! Great value.",12ct,Home > Shop > Food > Frozen,5.99,Contains wheat (gluten) and fish,200.0,10.0,12.0,3.3,160,In Stock,,2026-07-18T09:26:32.463000-07:00
SCR-0051,HearthBaked Whole Wheat Bread 20oz | HearthBaked | Buy Online,https://shopmart.example.com/products/hearthbaked-whole-wheat-bread-20oz,HEARTHBAKED,"100% whole wheat sandwich bread, no high fructose corn syrup Perfect for the whole family! Great value.",20 oz,Home > Shop > Food > Bakery,3.99,Contains wheat (gluten) and soy,245.0,3.5,10.0,3.5,24,In Stock,,2026-07-16T09:26:32.463000-07:00
SCR-0052,HearthBaked Sourdough Loaf 24oz | HearthBaked | Buy Online,https://shopmart.example.com/products/hearthbaked-sourdough-loaf-24oz,HearthBaked,Artisan sourdough bread with traditional 24-hour fermentation Perfect for the whole family! Great value.,24oz,Home > Shop > Food > Bakery,4.99,,270.0,1.5,9.0,4.1,24,In Stock,,2026-07-20T09:26:32.463000-07:00
SCR-0053,HearthBaked Everything Bagels 6ct | HearthBaked | Buy Online,https://shopmart.example.com/products/hearthbaked-everything-bagels-6ct,HearthBaked,"New York style everything bagels with sesame, poppy, garlic, onion Perfect for the whole family! Great value.",6ct,Home > Shop > Food > Bakery,4.49,,275.0,2.5,10.0,4.9,24,In Stock,,2026-08-01T09:26:32.463000-07:00
SCR-0054,HearthBaked Blueberry Muffins 4ct | HearthBaked | Buy Online,https://shopmart.example.com/products/hearthbaked-blueberry-muffins-4ct,HEARTHBAKED,Bakery-style blueberry muffins with real blueberries Perfect for the whole family! Great value.,4 CT,Home > Shop > Food > Bakery,7.14,"Contains wheat (gluten), milk, soy, and eggs",380.0,16.0,53.0,4.0,24,In Stock,,2026-07-31T09:26:32.463000-07:00
SCR-0055,HearthBaked Flour Tortillas 10ct | HearthBaked | Buy Online,https://shopmart.example.com/products/hearthbaked-flour-tortillas-10ct,HearthBaked,"Soft flour tortillas, burrito size Perfect for the whole family! Great value.",10ct,Home > Shop > Food > Bakery,3.79,,305.0,8.0,8.0,3.4,24,In Stock,SALE - Save 20%!,2026-07-17T09:26:32.463000-07:00
SCR-0056,PrimeCut Ground Beef 85/15 1lb | PrimeCut | Buy Online,https://shopmart.example.com/products/primecut-ground-beef-85/15-1lb,PrimeCut,"Fresh ground beef, 85% lean 15% fat Perfect for the whole family! Great value.",16oz,Home > Shop > Food > Meat & Poultry,6.99,,215.0,15.0,19.0,3.8,201,In Stock,SALE - Save 20%!,2026-07-23T09:26:32.463000-07:00
SCR-0057,PrimeCut Boneless Chicken Breast 1.5lb | PrimeCut | Buy Online,https://shopmart.example.com/products/primecut-boneless-chicken-breast-1.5lb,PrimeCut,All-natural boneless skinless chicken breasts Perfect for the whole family! Great value.,24oz,Home > Shop > Food > Meat & Poultry,8.49,No major allergens,22.0,2.6,22.0,3.8,201,In Stock,,2026-07-13T09:26:32.463000-07:00
SCR-0058,PrimeCut Thick Cut Bacon 16oz | PrimeCut | Buy Online,https://shopmart.example.com/products/primecut-thick-cut-bacon-16oz,PRIMECUT,"Hickory smoked thick-cut bacon, naturally cured Perfect for the whole family! Great value.",16oz,Home > Shop > Food > Meat & Poultry,9.74,,540.0,42.0,1.0,3.0,201,Low Stock,SALE - Save 20%!,2026-08-10T09:26:32.463000-07:00
SCR-0059,PrimeCut Italian Sausage Links 5ct | PrimeCut | Buy Online,https://shopmart.example.com/products/primecut-italian-sausage-links-5ct,PrimeCut,Sweet Italian pork sausage with fennel and herbs Perfect for the whole family! Great value.,5ct,Home > Shop > Food > Meat & Poultry,5.99,No major allergens,300.0,24.0,16.0,3.3,201,In Stock,,2026-07-18T09:26:32.463000-07:00
SCR-0060,PrimeCut Sliced Turkey Deli Meat 8oz | PrimeCut | Buy Online,https://shopmart.example.com/products/primecut-sliced-turkey-deli-meat-8oz,PrimeCut,"Oven-roasted turkey breast, sliced thin for sandwiches Perfect for the whole family! Great value.",8oz,Home > Shop > Food > Meat & Poultry,4.99,,18.0,1.5,18.0,3.8,201,In Stock,SALE - Save 20%!,2026-07-23T09:26:32.463000-07:00
SCR-0015-DUP,CreamValley Vanilla Bean Yogurt 6oz | CreamValley | Best Price | Free Ship,https://grocerydeals.example.com/products/creamvalley-vanilla-bean-yogurt-6oz,CREAMVALLEY,Smooth and creamy vanilla bean low-fat yogurt Perfect for the whole family! Ships free over $35!,6 OZ,Deals > Grocery > Food > Dairy,1.55,,85.0,1.5,15.0,4.0,300,Low Stock,SALE - Save 20%!,2026-08-10T09:26:32.463000-07:00
SCR-0019-DUP,CreamValley Cottage Cheese 16oz | CreamValley | Best Price | Free Ship,https://grocerydeals.example.com/products/creamvalley-cottage-cheese-16oz,CREAMVALLEY,"Small curd cottage cheese, 4% milkfat Perfect for the whole family! Ships free over $35!",16oz,Deals > Grocery > Food > Dairy,5.19,,11.0,4.3,3.4,3.0,300,In Stock,,2026-07-31T09:26:32.463000-07:00
SCR-0026-DUP,LeafBrew English Breakfast Tea 40ct | LeafBrew | Best Price | Free Ship,https://grocerydeals.example.com/products/leafbrew-english-breakfast-tea-40ct,LEAFBREW,"Full-bodied black tea blend, classic morning tea Perfect for the whole family! Ships free over $35!",40 CT,Deals > Grocery > Food > Beverages,7.79,,1.0,0.0,0.3,4.0,14,In Stock,,2026-07-31T09:26:32.463000-07:00
SCR-0027-DUP,FreshSqueeze Lemonade 52oz | FreshSqueeze | Best Price | Free Ship,https://grocerydeals.example.com/products/freshsqueeze-lemonade-52oz,FRESHSQUEEZE,Old-fashioned lemonade made with real lemons and cane sugar Perfect for the whole family! Ships free over $35!,52fl oz,Deals > Grocery > Food > Beverages,4.93,,42.0,0.0,11.0,3.0,111,Low Stock,SALE - Save 20%!,2026-08-10T09:26:32.463000-07:00
SCR-0032-DUP,CrunchCraft BBQ Chips 9oz | CrunchCraft | Best Price | Free Ship,https://grocerydeals.example.com/products/crunchcraft-bbq-chips-9oz,CRUNCHCRAFT,Bold barbecue flavored ridged potato chips Perfect for the whole family! Ships free over $35!,9oz,Deals > Grocery > Food > Snacks,5.84,,5.5,32.0,53.0,3.0,205,In Stock,,2026-07-21T09:26:32.463000-07:00
SCR-0040-DUP,CrunchCraft Pretzel Thins 8oz | CrunchCraft | Best Price | Free Ship,https://grocerydeals.example.com/products/crunchcraft-pretzel-thins-8oz,CRUNCHCRAFT,"Thin and crispy pretzel crackers, baked not fried Perfect for the whole family! Ships free over $35!",8 OZ,Deals > Grocery > Food > Snacks,4.54,,380.0,3.5,79.0,4.0,205,In Stock,,2026-07-21T09:26:32.463000-07:00
SCR-0048-DUP,FrostBite Vanilla Ice Cream 48oz | FrostBite | Best Price | Free Ship,https://grocerydeals.example.com/products/frostbite-vanilla-ice-cream-48oz,FROSTBITE,Premium vanilla bean ice cream made with real vanilla Perfect for the whole family! Ships free over $35!,48fl oz,Deals > Grocery > Food > Frozen,7.79,,3.5,11.0,24.0,3.0,160,In Stock,,2026-07-31T09:26:32.463000-07:00
SCR-0054-DUP,HearthBaked Blueberry Muffins 4ct | HearthBaked | Best Price | Free Ship,https://grocerydeals.example.com/products/hearthbaked-blueberry-muffins-4ct,HEARTHBAKED,Bakery-style blueberry muffins with real blueberries Perfect for the whole family! Ships free over $35!,4 CT,Deals > Grocery > Food > Bakery,7.14,,380.0,16.0,53.0,4.0,24,In Stock,,2026-07-31T09:26:32.463000-07:00
