GTIN,TITLE,DESCRIPTION_CLEAN,CATEGORY_PATH,SEARCH_TEXT
00123456000011,GoldenHarvest GoldenHarvest Oat Flakes 18oz,"Whole grain rolled oats, lightly toasted for a hearty breakfast",Food > Breakfast Cereals > Oatmeal,"GTIN: 00123456000011 | Brand: GoldenHarvest | GoldenHarvest Oat Flakes 18oz | Price: $4.29 | Size: 18 oz | Category: Breakfast Cereals > Oatmeal | Allergens: Contains wheat and oats (gluten) | Nutrition per 100g: 375 kcal, 13g protein, 7g fat, 63g carbs, 1g sugar | Origin: USA | Availability: In Stock"
00123456000141,CreamValley CreamValley Greek Yogurt Strawberry 5.3oz,Single-serve strawberry Greek yogurt with real fruit,Food > Dairy > Greek Yogurt,"GTIN: 00123456000141 | Brand: CreamValley | CreamValley Greek Yogurt Strawberry 5.3oz | Price: $1.49 | Size: 5.3 oz | Category: Dairy > Greek Yogurt | Allergens: Contains milk | Nutrition per 100g: 92 kcal, 12g protein, 2.5g fat, 12g carbs, 11g sugar | Origin: USA | Availability: In Stock"
00123456000158,CreamValley CreamValley Vanilla Bean Yogurt 6oz,Smooth and creamy vanilla bean low-fat yogurt,Food > Dairy > Yogurt,"GTIN: 00123456000158 | Brand: CreamValley | CreamValley Vanilla Bean Yogurt 6oz | Price: $1.19 | Size: 6 oz | Category: Dairy > Yogurt | Allergens: Contains milk | Nutrition per 100g: 85 kcal, 5g protein, 1.5g fat, 15g carbs, 13g sugar | Origin: USA | Availability: In Stock"
00123456000165,WisconsinPride WisconsinPride Sharp Cheddar 8oz,Aged 12 months Wisconsin sharp cheddar block,Food > Dairy > Cheddar Cheese,"GTIN: 00123456000165 | Brand: WisconsinPride | WisconsinPride Sharp Cheddar 8oz | Price: $4.99 | Size: 8 oz | Category: Dairy > Cheddar Cheese | Allergens: Contains milk | Nutrition per 100g: 403 kcal, 25g protein, 33g fat, 1.3g carbs, 0.5g sugar | Origin: USA | Availability: In Stock"
00123456000172,WisconsinPride WisconsinPride Mozzarella Shredded 16oz,"Low-moisture part-skim mozzarella, pre-shredded",Food > Dairy > Mozzarella Cheese,"GTIN: 00123456000172 | Brand: WisconsinPride | WisconsinPride Mozzarella Shredded 16oz | Price: $5.49 | Size: 16 oz | Category: Dairy > Mozzarella Cheese | Allergens: Contains milk | Nutrition per 100g: 280 kcal, 28g protein, 17g fat, 3g carbs, 1g sugar | Origin: USA | Availability: In Stock"
00123456000189,PureDairy PureDairy Heavy Cream 16 fl oz,"Ultra-pasteurized heavy whipping cream, 36% fat",Food > Dairy > Cream,"GTIN: 00123456000189 | Brand: PureDairy | PureDairy Heavy Cream 16 fl oz | Price: $4.79 | Size: 16 fl oz | Category: Dairy > Cream | Allergens: Contains milk | Nutrition per 100g: 340 kcal, 2.1g protein, 36g fat, 2.8g carbs, 2.8g sugar | Origin: USA | Availability: In Stock"
00123456000196,CreamValley CreamValley Cottage Cheese 16oz,"Small curd cottage cheese, 4% milkfat",Food > Dairy > Cottage Cheese,"GTIN: 00123456000196 | Brand: CreamValley | CreamValley Cottage Cheese 16oz | Price: $3.99 | Size: 16 oz | Category: Dairy > Cottage Cheese | Allergens: Contains milk | Nutrition per 100g: 98 kcal, 11g protein, 4.3g fat, 3.4g carbs, 2.7g sugar | Origin: USA | Availability: In Stock"
00123456000202,PureDairy PureDairy Butter Unsalted 1lb,"Sweet cream unsalted butter, churned fresh",Food > Dairy > Butter,"GTIN: 00123456000202 | Brand: PureDairy | PureDairy Butter Unsalted 1lb | Price: $5.29 | Size: 16 oz | Category: Dairy > Butter | Allergens: Contains milk | Nutrition per 100g: 717 kcal, 0.9g protein, 81g fat, 0.1g carbs, 0.1g sugar | Origin: USA | Availability: In Stock"
00123456000219,FreshSqueeze FreshSqueeze Orange Juice No Pulp 52oz,"100% fresh-squeezed orange juice, not from concentrate",Food > Beverages > Orange Juice,"GTIN: 00123456000219 | Brand: FreshSqueeze | FreshSqueeze Orange Juice No Pulp 52oz | Price: $4.99 | Size: 52 fl oz | Category: Beverages > Orange Juice | Allergens: No major allergens | Nutrition per 100g: 44 kcal, 0.7g protein, 0.1g fat, 10.4g carbs, 8.5g sugar | Origin: USA | Availability: In Stock"
00123456000226,FreshSqueeze FreshSqueeze Apple Juice 64oz,100% pressed apple juice from Washington state apples,Food > Beverages > Apple Juice,"GTIN: 00123456000226 | Brand: FreshSqueeze | FreshSqueeze Apple Juice 64oz | Price: $3.99 | Size: 64 fl oz | Category: Beverages > Apple Juice | Allergens: No major allergens | Nutrition per 100g: 46 kcal, 0.1g protein, 0.1g fat, 11.3g carbs, 9.6g sugar | Origin: USA | Availability: In Stock"
00123456000233,MountainSpring MountainSpring Sparkling Water Lemon 12pk,"Naturally flavored sparkling mineral water, zero calories",Food > Beverages > Sparkling Water,"GTIN: 00123456000233 | Brand: MountainSpring | MountainSpring Sparkling Water Lemon 12pk | Price: $5.49 | Size: 144 fl oz | Category: Beverages > Sparkling Water | Allergens: No major allergens | Nutrition per 100g: 0 kcal, 0g protein, 0g fat, 0g carbs, 0g sugar | Origin: USA | Availability: In Stock"
00123456000240,MountainSpring MountainSpring Still Water 24pk,"Purified drinking water, sourced from mountain springs",Food > Beverages > Still Water,"GTIN: 00123456000240 | Brand: MountainSpring | MountainSpring Still Water 24pk | Price: $4.29 | Size: 405.6 fl oz | Category: Beverages > Still Water | Allergens: No major allergens | Nutrition per 100g: 0 kcal, 0g protein, 0g fat, 0g carbs, 0g sugar | Origin: USA | Availability: In Stock"
00123456000257,LeafBrew LeafBrew Green Tea Bags 20ct,"Premium Japanese sencha green tea, individually wrapped",Food > Beverages > Green Tea,"GTIN: 00123456000257 | Brand: LeafBrew | LeafBrew Green Tea Bags 20ct | Price: $4.49 | Size: 20 ct | Category: Beverages > Green Tea | Allergens: No major allergens | Nutrition per 100g: 1 kcal, 0g protein, 0g fat, 0.2g carbs, 0g sugar | Origin: Japan | Availability: In Stock"
00123456000264,LeafBrew LeafBrew English Breakfast Tea 40ct,"Full-bodied black tea blend, classic morning tea",Food > Beverages > Black Tea,"GTIN: 00123456000264 | Brand: LeafBrew | LeafBrew English Breakfast Tea 40ct | Price: $5.99 | Size: 40 ct | Category: Beverages > Black Tea | Allergens: No major allergens | Nutrition per 100g: 1 kcal, 0g protein, 0g fat, 0.3g carbs, 0g sugar | Origin: Sri Lanka | Availability: In Stock"
00123456000271,FreshSqueeze FreshSqueeze Lemonade 52oz,Old-fashioned lemonade made with real lemons and cane sugar,Food > Beverages > Lemonade,"GTIN: 00123456000271 | Brand: FreshSqueeze | FreshSqueeze Lemonade 52oz | Price: $3.79 | Size: 52 fl oz | Category: Beverages > Lemonade | Allergens: No major allergens | Nutrition per 100g: 42 kcal, 0g protein, 0g fat, 11g carbs, 10.5g sugar | Origin: USA | Availability: In Stock"
00123456000288,MountainSpring MountainSpring Coconut Water 11.2oz,"100% pure coconut water, never from concentrate",Food > Beverages > Coconut Water,"GTIN: 00123456000288 | Brand: MountainSpring | MountainSpring Coconut Water 11.2oz | Price: $2.99 | Size: 11.2 fl oz | Category: Beverages > Coconut Water | Allergens: No major allergens. Contains coconut (tree nut) | Nutrition per 100g: 19 kcal, 0.2g protein, 0g fat, 4.5g carbs, 4g sugar | Origin: Philippines | Availability: In Stock"
00123456000295,LeafBrew LeafBrew Chai Latte Mix 10ct,Spiced chai tea latte mix with real cinnamon and cardamom,Food > Beverages > Tea Latte,"GTIN: 00123456000295 | Brand: LeafBrew | LeafBrew Chai Latte Mix 10ct | Price: $6.49 | Size: 10 ct | Category: Beverages > Tea Latte | Allergens: Contains milk | Nutrition per 100g: 85 kcal, 2g protein, 2g fat, 15g carbs, 12g sugar | Origin: India | Availability: In Stock"
00123456000301,FreshSqueeze FreshSqueeze Cranberry Juice Cocktail 64oz,"Cranberry juice cocktail from concentrate, 27% juice",Food > Beverages > Cranberry Juice,"GTIN: 00123456000301 | Brand: FreshSqueeze | FreshSqueeze Cranberry Juice Cocktail 64oz | Price: $3.49 | Size: 64 fl oz | Category: Beverages > Cranberry Juice | Allergens: No major allergens | Nutrition per 100g: 46 kcal, 0g protein, 0g fat, 12g carbs, 11.5g sugar | Origin: USA | Availability: In Stock"
00123456000318,CrunchCraft CrunchCraft Sea Salt Kettle Chips 7oz,"Hand-cooked potato chips with sea salt, small batch crafted",Food > Snacks > Potato Chips,"GTIN: 00123456000318 | Brand: CrunchCraft | CrunchCraft Sea Salt Kettle Chips 7oz | Price: $3.99 | Size: 7 oz | Category: Snacks > Potato Chips | Allergens: No major allergens. Made in a facility that processes milk | Nutrition per 100g: 530 kcal, 6g protein, 30g fat, 52g carbs, 0.5g sugar | Origin: USA | Availability: In Stock"
00123456000325,CrunchCraft CrunchCraft BBQ Chips 9oz,Bold barbecue flavored ridged potato chips,Food > Snacks > Potato Chips,"GTIN: 00123456000325 | Brand: CrunchCraft | CrunchCraft BBQ Chips 9oz | Price: $4.49 | Size: 9 oz | Category: Snacks > Potato Chips | Allergens: Contains milk | Nutrition per 100g: 540 kcal, 5.5g protein, 32g fat, 53g carbs, 5g sugar | Origin: USA | Availability: In Stock"
00123456000332,NutHouse NutHouse Roasted Almonds 12oz,"Dry roasted whole almonds, lightly salted",Food > Snacks > Nuts,"GTIN: 00123456000332 | Brand: NutHouse | NutHouse Roasted Almonds 12oz | Price: $7.99 | Size: 12 oz | Category: Snacks > Nuts | Allergens: Contains tree nuts (almonds) | Nutrition per 100g: 579 kcal, 21g protein, 49g fat, 22g carbs, 4.4g sugar | Origin: USA | Availability: In Stock"
00123456000349,NutHouse NutHouse Trail Mix Classic 16oz,"Peanuts, raisins, sunflower seeds, M&Ms, and almonds",Food > Snacks > Trail Mix,"GTIN: 00123456000349 | Brand: NutHouse | NutHouse Trail Mix Classic 16oz | Price: $6.49 | Size: 16 oz | Category: Snacks > Trail Mix | Allergens: Contains peanuts, tree nuts, milk, and soy | Nutrition per 100g: 475 kcal, 12g protein, 25g fat, 52g carbs, 30g sugar | Origin: USA | Availability: In Stock"
00123456000356,DarkBliss DarkBliss 72% Dark Chocolate Bar 3.5oz,"Premium dark chocolate, 72% cacao, single origin Ghana",Food > Snacks > Dark Chocolate,"GTIN: 00123456000356 | Brand: DarkBliss | DarkBliss 72% Dark Chocolate Bar 3.5oz | Price: $4.99 | Size: 3.5 oz | Category: Snacks > Dark Chocolate | Allergens: Contains milk and soy (lecithin) | Nutrition per 100g: 560 kcal, 8g protein, 42g fat, 33g carbs, 24g sugar | Origin: Ghana | Availability: In Stock"
00123456000363,DarkBliss DarkBliss Milk Chocolate Almonds 5oz,Roasted almonds coated in smooth milk chocolate,Food > Snacks > Chocolate,"GTIN: 00123456000363 | Brand: DarkBliss | DarkBliss Milk Chocolate Almonds 5oz | Price: $5.49 | Size: 5 oz | Category: Snacks > Chocolate | Allergens: Contains milk, tree nuts (almonds), and soy | Nutrition per 100g: 530 kcal, 9g protein, 35g fat, 48g carbs, 40g sugar | Origin: USA | Availability: In Stock"
00123456000370,CrunchCraft CrunchCraft Multigrain Tortilla Chips 10oz,Baked multigrain tortilla chips with flax and quinoa,Food > Snacks > Tortilla Chips,"GTIN: 00123456000370 | Brand: CrunchCraft | CrunchCraft Multigrain Tortilla Chips 10oz | Price: $4.29 | Size: 10 oz | Category: Snacks > Tortilla Chips | Allergens: Contains wheat (gluten) | Nutrition per 100g: 420 kcal, 7g protein, 15g fat, 65g carbs, 2g sugar | Origin: USA | Availability: In Stock"
00123456000387,NutHouse NutHouse Cashews Salted 10oz,"Whole fancy cashews, roasted and salted",Food > Snacks > Nuts,"GTIN: 00123456000387 | Brand: NutHouse | NutHouse Cashews Salted 10oz | Price: $8.99 | Size: 10 oz | Category: Snacks > Nuts | Allergens: Contains tree nuts (cashews) | Nutrition per 100g: 553 kcal, 18g protein, 44g fat, 30g carbs, 6g sugar | Origin: Vietnam | Availability: In Stock"
00123456000394,DarkBliss DarkBliss White Chocolate Raspberry Bar 3oz,Creamy white chocolate with freeze-dried raspberry pieces,Food > Snacks > White Chocolate,"GTIN: 00123456000394 | Brand: DarkBliss | DarkBliss White Chocolate Raspberry Bar 3oz | Price: $4.49 | Size: 3 oz | Category: Snacks > White Chocolate | Allergens: Contains milk, soy, and egg | Nutrition per 100g: 540 kcal, 6g protein, 32g fat, 57g carbs, 55g sugar | Origin: Belgium | Availability: In Stock"
00123456000400,CrunchCraft CrunchCraft Pretzel Thins 8oz,"Thin and crispy pretzel crackers, baked not fried",Food > Snacks > Pretzels,"GTIN: 00123456000400 | Brand: CrunchCraft | CrunchCraft Pretzel Thins 8oz | Price: $3.49 | Size: 8 oz | Category: Snacks > Pretzels | Allergens: Contains wheat (gluten) | Nutrition per 100g: 380 kcal, 10g protein, 3.5g fat, 79g carbs, 2g sugar | Origin: USA | Availability: In Stock"
00123456000417,CleanHome CleanHome All-Purpose Cleaner 32oz,"Multi-surface spray cleaner with lavender scent, plant-based formula",Household > Cleaning > All-Purpose Cleaner,"GTIN: 00123456000417 | Brand: CleanHome | CleanHome All-Purpose Cleaner 32oz | Price: $4.49 | Size: 32 fl oz | Category: Cleaning > All-Purpose Cleaner | Allergens: Not a food product | Nutrition per 100g: 0 kcal, 0g protein, 0g fat, 0g carbs, 0g sugar | Origin: USA | Availability: In Stock"
00123456000424,CleanHome CleanHome Dish Soap Lemon 22oz,"Concentrated dishwashing liquid, cuts through grease",Household > Cleaning > Dish Soap,"GTIN: 00123456000424 | Brand: CleanHome | CleanHome Dish Soap Lemon 22oz | Price: $3.29 | Size: 22 fl oz | Category: Cleaning > Dish Soap | Allergens: Not a food product | Nutrition per 100g: 0 kcal, 0g protein, 0g fat, 0g carbs, 0g sugar | Origin: USA | Availability: In Stock"
00123456000431,FreshGlow FreshGlow Moisturizing Shampoo 12oz,Sulfate-free hydrating shampoo for dry and damaged hair,Personal Care > Hair Care > Shampoo,"GTIN: 00123456000431 | Brand: FreshGlow | FreshGlow Moisturizing Shampoo 12oz | Price: $6.99 | Size: 12 fl oz | Category: Hair Care > Shampoo | Allergens: Not a food product | Nutrition per 100g: 0 kcal, 0g protein, 0g fat, 0g carbs, 0g sugar | Origin: USA | Availability: In Stock"
00123456000448,FreshGlow FreshGlow Conditioner Repair 12oz,Deep conditioning treatment for damaged hair,Personal Care > Hair Care > Conditioner,"GTIN: 00123456000448 | Brand: FreshGlow | FreshGlow Conditioner Repair 12oz | Price: $7.49 | Size: 12 fl oz | Category: Hair Care > Conditioner | Allergens: Not a food product | Nutrition per 100g: 0 kcal, 0g protein, 0g fat, 0g carbs, 0g sugar | Origin: USA | Availability: In Stock"
00123456000455,FreshGlow FreshGlow Bar Soap Oatmeal 4pk,Gentle oatmeal bar soap for sensitive skin,Personal Care > Body Care > Bar Soap,"GTIN: 00123456000455 | Brand: FreshGlow | FreshGlow Bar Soap Oatmeal 4pk | Price: $4.99 | Size: 4 ct | Category: Body Care > Bar Soap | Allergens: Not a food product | Nutrition per 100g: 0 kcal, 0g protein, 0g fat, 0g carbs, 0g sugar | Origin: USA | Availability: In Stock"
00123456000462,FrostBite FrostBite Pepperoni Pizza 2pk,Thin crust pepperoni pizza with mozzarella and tomato sauce,Food > Frozen > Frozen Pizza,"GTIN: 00123456000462 | Brand: FrostBite | FrostBite Pepperoni Pizza 2pk | Price: $7.99 | Size: 2 ct | Category: Frozen > Frozen Pizza | Allergens: Contains wheat (gluten), milk, and soy | Nutrition per 100g: 240 kcal, 11g protein, 10g fat, 28g carbs, 4g sugar | Origin: USA | Availability: In Stock"
00123456000479,FrostBite FrostBite Chicken Tenders 24oz,"Breaded chicken breast tenders, fully cooked",Food > Frozen > Frozen Chicken,"GTIN: 00123456000479 | Brand: FrostBite | FrostBite Chicken Tenders 24oz | Price: $8.49 | Size: 24 oz | Category: Frozen > Frozen Chicken | Allergens: Contains wheat (gluten), milk, soy, and eggs | Nutrition per 100g: 210 kcal, 18g protein, 10g fat, 14g carbs, 1g sugar | Origin: USA | Availability: In Stock"
00123456000486,FrostBite FrostBite Vanilla Ice Cream 48oz,Premium vanilla bean ice cream made with real vanilla,Food > Frozen > Ice Cream,"GTIN: 00123456000486 | Brand: FrostBite | FrostBite Vanilla Ice Cream 48oz | Price: $5.99 | Size: 48 fl oz | Category: Frozen > Ice Cream | Allergens: Contains milk and eggs | Nutrition per 100g: 207 kcal, 3.5g protein, 11g fat, 24g carbs, 21g sugar | Origin: USA | Availability: In Stock"
00123456000493,FrostBite FrostBite Mixed Vegetables 16oz,"Flash-frozen mixed vegetables: corn, peas, carrots, green beans",Food > Frozen > Frozen Vegetables,"GTIN: 00123456000493 | Brand: FrostBite | FrostBite Mixed Vegetables 16oz | Price: $2.49 | Size: 16 oz | Category: Frozen > Frozen Vegetables | Allergens: No major allergens | Nutrition per 100g: 55 kcal, 2.5g protein, 0.3g fat, 10g carbs, 3.5g sugar | Origin: USA | Availability: In Stock"
00123456000509,FrostBite FrostBite Fish Sticks 12ct,"Wild-caught pollock fish sticks, breaded and pre-cooked",Food > Frozen > Frozen Seafood,"GTIN: 00123456000509 | Brand: FrostBite | FrostBite Fish Sticks 12ct | Price: $5.99 | Size: 12 ct | Category: Frozen > Frozen Seafood | Allergens: Contains wheat (gluten) and fish | Nutrition per 100g: 200 kcal, 12g protein, 10g fat, 17g carbs, 1g sugar | Origin: USA | Availability: In Stock"
00123456000516,HearthBaked HearthBaked Whole Wheat Bread 20oz,"100% whole wheat sandwich bread, no high fructose corn syrup",Food > Bakery > Whole Wheat Bread,"GTIN: 00123456000516 | Brand: HearthBaked | HearthBaked Whole Wheat Bread 20oz | Price: $3.99 | Size: 20 oz | Category: Bakery > Whole Wheat Bread | Allergens: Contains wheat (gluten) and soy | Nutrition per 100g: 245 kcal, 10g protein, 3.5g fat, 43g carbs, 5g sugar | Origin: USA | Availability: In Stock"
00123456000523,HearthBaked HearthBaked Sourdough Loaf 24oz,Artisan sourdough bread with traditional 24-hour fermentation,Food > Bakery > Sourdough Bread,"GTIN: 00123456000523 | Brand: HearthBaked | HearthBaked Sourdough Loaf 24oz | Price: $4.99 | Size: 24 oz | Category: Bakery > Sourdough Bread | Allergens: Contains wheat (gluten) | Nutrition per 100g: 270 kcal, 9g protein, 1.5g fat, 52g carbs, 2g sugar | Origin: USA | Availability: In Stock"
00123456000530,HearthBaked HearthBaked Everything Bagels 6ct,"New York style everything bagels with sesame, poppy, garlic, onion",Food > Bakery > Bagels,"GTIN: 00123456000530 | Brand: HearthBaked | HearthBaked Everything Bagels 6ct | Price: $4.49 | Size: 6 ct | Category: Bakery > Bagels | Allergens: Contains wheat (gluten), milk, sesame, soy, and eggs | Nutrition per 100g: 275 kcal, 10g protein, 2.5g fat, 53g carbs, 6g sugar | Origin: USA | Availability: In Stock"
00123456000547,HearthBaked HearthBaked Blueberry Muffins 4ct,Bakery-style blueberry muffins with real blueberries,Food > Bakery > Muffins,"GTIN: 00123456000547 | Brand: HearthBaked | HearthBaked Blueberry Muffins 4ct | Price: $5.49 | Size: 4 ct | Category: Bakery > Muffins | Allergens: Contains wheat (gluten), milk, soy, and eggs | Nutrition per 100g: 380 kcal, 5g protein, 16g fat, 53g carbs, 28g sugar | Origin: USA | Availability: In Stock"
00123456000554,HearthBaked HearthBaked Flour Tortillas 10ct,"Soft flour tortillas, burrito size",Food > Bakery > Tortillas,"GTIN: 00123456000554 | Brand: HearthBaked | HearthBaked Flour Tortillas 10ct | Price: $3.79 | Size: 10 ct | Category: Bakery > Tortillas | Allergens: Contains wheat (gluten) and soy | Nutrition per 100g: 305 kcal, 8g protein, 8g fat, 50g carbs, 2g sugar | Origin: USA | Availability: In Stock"
00123456000561,PrimeCut PrimeCut Ground Beef 85/15 1lb,"Fresh ground beef, 85% lean 15% fat",Food > Meat & Poultry > Ground Beef,"GTIN: 00123456000561 | Brand: PrimeCut | PrimeCut Ground Beef 85/15 1lb | Price: $6.99 | Size: 16 oz | Category: Meat & Poultry > Ground Beef | Allergens: No major allergens | Nutrition per 100g: 215 kcal, 19g protein, 15g fat, 0g carbs, 0g sugar | Origin: USA | Availability: In Stock"
00123456000578,PrimeCut PrimeCut Boneless Chicken Breast 1.5lb,All-natural boneless skinless chicken breasts,Food > Meat & Poultry > Chicken Breast,"GTIN: 00123456000578 | Brand: PrimeCut | PrimeCut Boneless Chicken Breast 1.5lb | Price: $8.49 | Size: 24 oz | Category: Meat & Poultry > Chicken Breast | Allergens: No major allergens | Nutrition per 100g: 120 kcal, 22g protein, 2.6g fat, 0g carbs, 0g sugar | Origin: USA | Availability: In Stock"
00123456000585,PrimeCut PrimeCut Thick Cut Bacon 16oz,"Hickory smoked thick-cut bacon, naturally cured",Food > Meat & Poultry > Bacon,"GTIN: 00123456000585 | Brand: PrimeCut | PrimeCut Thick Cut Bacon 16oz | Price: $7.49 | Size: 16 oz | Category: Meat & Poultry > Bacon | Allergens: No major allergens | Nutrition per 100g: 540 kcal, 37g protein, 42g fat, 1g carbs, 0g sugar | Origin: USA | Availability: In Stock"
00123456000592,PrimeCut PrimeCut Italian Sausage Links 5ct,Sweet Italian pork sausage with fennel and herbs,Food > Meat & Poultry > Sausage,"GTIN: 00123456000592 | Brand: PrimeCut | PrimeCut Italian Sausage Links 5ct | Price: $5.99 | Size: 5 ct | Category: Meat & Poultry > Sausage | Allergens: No major allergens | Nutrition per 100g: 300 kcal, 16g protein, 24g fat, 2g carbs, 1g sugar | Origin: USA | Availability: In Stock"
