SKU,VENDOR,ITEM_NAME,DEPARTMENT,PRICE,SIZE_TEXT,ALLERGEN_NOTES,IN_STOCK,UPC_CODE,LAST_UPDATED
SKU-00021,FreshSqueeze,Pulp 52oz,Beverages,4.19,52 fl oz,No major allergens,Yes,00123456000219,2026-02-07
SKU-00022,FreshSqueeze,Juice 64oz,Beverages,3.99,64 fl oz,No major allergens,Yes,00123456000226,2026-02-10
SKU-00023,MountainSpring,MountainSpring Sparkling Water Lemon 12pk,Beverages,5.49,144 fl oz,No major allergens,Yes,,2026-05-11
SKU-00024,MountainSpring,MountainSpring Still Water 24pk,Beverages,4.29,405.6 fl oz,No major allergens,Yes,,2026-01-19
SKU-00025,LeafBrew,LeafBrew Green Tea Bags 20ct,Beverages,4.49,20 ct,No major allergens,Yes,,2026-02-18
SKU-00026,LEAFBREW,LeafBrew English Breakfast Tea 40ct,Beverages,5.45,40 ct,No major allergens,Yes,,2026-03-23
SKU-00027,FRESHSQUEEZE,Lemonade 52oz,Beverages,3.79,52 fl oz,No major allergens,Out of Stock,00123456000271,2026-04-22
SKU-00028,MountainSpring,MountainSpring Coconut Water 11.2oz,Beverages,2.99,11.2 fl oz,No major allergens. Contains coconut (tree nut),Yes,,2026-03-29
SKU-00029,LeafBrew,LeafBrew Chai Latte Mix 10ct,Beverages,6.49,10 ct,Contains milk,Yes,,2026-03-11
SKU-00030,FreshSqueeze,Cocktail 64oz,Beverages,3.49,64 fl oz,No major allergens,Yes,00123456000301,2026-01-21
SKU-00031,CrunchCraft,CrunchCraft Sea Salt Kettle Chips 7oz,Snacks,3.99,7 oz,No major allergens. Made in a facility that processes milk,Yes,,2026-04-04
SKU-00032,CRUNCHCRAFT,CrunchCraft BBQ Chips 9oz,Snacks,4.49,9 oz,Contains milk,Yes,,2026-04-02
SKU-00033,NutHouse,NutHouse Roasted Almonds 12oz,Snacks,6.95,12 oz,Contains tree nuts (almonds),Yes,,2026-02-02
SKU-00034,NutHouse,Classic 16oz,Snacks,6.49,16 oz,"Contains peanuts, tree nuts, milk, and soy",Yes,00123456000349,2026-02-10
SKU-00035,DarkBliss,DarkBliss 72% Dark Chocolate Bar 3.5oz,Snacks,4.99,3.5 oz,Contains milk and soy (lecithin),Yes,,2026-02-23
SKU-00036,DarkBliss,DarkBliss Milk Chocolate Almonds 5oz,Snacks,5.49,5 oz,"Contains milk, tree nuts (almonds), and soy",Yes,,2025-12-26
SKU-00037,CrunchCraft,Chips 10oz,Snacks,4.29,10 oz,Contains wheat (gluten),Yes,00123456000370,2026-03-06
SKU-00038,NutHouse,Salted 10oz,Snacks,8.99,10 oz,Contains tree nuts (cashews),Out of Stock,00123456000387,2025-11-25
SKU-00039,DarkBliss,Bar 3oz,Snacks,4.49,3 oz,"Contains milk, soy, and egg",Yes,00123456000394,2026-04-11
SKU-00040,CRUNCHCRAFT,CrunchCraft Pretzel Thins 8oz,Snacks,3.49,8 oz,Contains wheat (gluten),Yes,,2026-04-12
SKU-00041,CleanHome,CleanHome All-Purpose Cleaner 32oz,Cleaning,4.49,32 fl oz,Not a food product,Yes,,2025-12-02
SKU-00042,CleanHome,CleanHome Dish Soap Lemon 22oz,Cleaning,3.29,22 fl oz,Not a food product,Yes,,2026-01-03
SKU-00043,FreshGlow,FreshGlow Moisturizing Shampoo 12oz,Hair Care,6.99,12 fl oz,Not a food product,Yes,,2025-11-10
SKU-00044,FreshGlow,Repair 12oz,Hair Care,7.12,12 fl oz,Not a food product,Yes,00123456000448,2026-04-07
SKU-00045,FreshGlow,FreshGlow Bar Soap Oatmeal 4pk,Body Care,4.74,4 ct,Not a food product,Yes,,2025-11-04
SKU-00046,FrostBite,FrostBite Pepperoni Pizza 2pk,Frozen,7.99,2 ct,"Contains wheat (gluten), milk, and soy",Yes,,2026-05-08
SKU-00047,FrostBite,Tenders 24oz,Frozen,8.07,24 oz,"Contains wheat (gluten), milk, soy, and eggs",Out of Stock,00123456000479,2025-12-19
SKU-00048,FROSTBITE,FrostBite Vanilla Ice Cream 48oz,Frozen,5.69,48 fl oz,Contains milk and eggs,Yes,,2026-04-02
SKU-00049,FrostBite,FrostBite Mixed Vegetables 16oz,Frozen,2.37,16 oz,No major allergens,Yes,,2025-11-20
SKU-00050,FrostBite,FrostBite Fish Sticks 12ct,Frozen,5.69,12 ct,Contains wheat (gluten) and fish,Yes,,2026-05-09
SKU-00051,HearthBaked,HearthBaked Whole Wheat Bread 20oz,Bakery,3.99,20 oz,Contains wheat (gluten) and soy,Yes,,2025-11-08
SKU-00052,HearthBaked,Loaf 24oz,Bakery,4.99,24 oz,Contains wheat (gluten),Yes,00123456000523,2026-02-10
SKU-00053,HearthBaked,Bagels 6ct,Bakery,4.49,6 ct,"Contains wheat (gluten), milk, sesame, soy, and eggs",Yes,00123456000530,2026-02-02
SKU-00054,HEARTHBAKED,HearthBaked Blueberry Muffins 4ct,Bakery,5.49,4 ct,"Contains wheat (gluten), milk, soy, and eggs",Yes,,2026-03-23
SKU-00055,HearthBaked,Tortillas 10ct,Bakery,3.79,10 ct,Contains wheat (gluten) and soy,Out of Stock,00123456000554,2026-03-29
SKU-00056,PrimeCut,85/15 1lb,Meat & Poultry,6.99,16 oz,No major allergens,Out of Stock,00123456000561,2026-04-14
SKU-00057,PrimeCut,PrimeCut Boneless Chicken Breast 1.5lb,Meat & Poultry,8.49,24 oz,No major allergens,Yes,,2026-01-04
SKU-00058,PRIMECUT,Bacon 16oz,Meat & Poultry,6.29,16 oz,No major allergens,Out of Stock,00123456000585,2025-12-23
SKU-00059,PrimeCut,PrimeCut Italian Sausage Links 5ct,Meat & Poultry,5.99,5 ct,No major allergens,Yes,,2026-03-10
SKU-00060,PrimeCut,Meat 8oz,Meat & Poultry,4.99,8 oz,Contains soy,Out of Stock,00123456000608,2026-02-13
