SCRAPED_ID,TITLE,SEARCH_TEXT
SCR-0023,MountainSpring Sparkling Water Lemon 12pk | MountainSpring | Buy Online,"MountainSpring Naturally flavored sparkling mineral water, zero calories Perfect for the whole family! Great value. | Price: $5.49 | Size: 144 fl oz | Category: Home > Shop > Food > Beverages | Allergens: No major allergens | Rating: 3.1/5 (121 reviews) | "
SCR-0024,MountainSpring Still Water 24pk | MountainSpring | Buy Online,"MountainSpring Purified drinking water, sourced from mountain springs Perfect for the whole family! Great value. | Price: $4.29 | Size: 405.6 fl oz | Category: Home > Shop > Food > Beverages | Allergens: No major allergens | Rating: 4.3/5 (121 reviews) | "
SCR-0025,LeafBrew Green Tea Bags 20ct | LeafBrew | Buy Online,"LeafBrew Premium Japanese sencha green tea, individually wrapped Perfect for the whole family! Great value. | Price: $4.49 | Size: 20ct | Category: Home > Shop > Food > Beverages | Allergens: No major allergens | Rating: 3.3/5 (14 reviews) | "
SCR-0026,LeafBrew English Breakfast Tea 40ct | LeafBrew | Buy Online,"LEAFBREW Full-bodied black tea blend, classic morning tea Perfect for the whole family! Great value. | Price: $7.79 | Size: 40 CT | Category: Home > Shop > Food > Beverages | Allergens: No major allergens | Rating: 4.0/5 (14 reviews) | "
SCR-0027,FreshSqueeze Lemonade 52oz | FreshSqueeze | Buy Online,FRESHSQUEEZE Old-fashioned lemonade made with real lemons and cane sugar Perfect for the whole family! Great value. | Price: $4.93 | Size: 52fl oz | Category: Home > Shop > Food > Beverages | Allergens: Not listed | Rating: 3.0/5 (111 reviews) | SALE - Save 20%!
SCR-0028,MountainSpring Coconut Water 11.2oz | MountainSpring | Buy Online,"MountainSpring 100% pure coconut water, never from concentrate Perfect for the whole family! Great value. | Price: $2.99 | Size: 11.2fl oz | Category: Home > Shop > Food > Beverages | Allergens: No major allergens. Contains coconut (tree nut) | Rating: 3.4/5 (121 reviews) | "
SCR-0029,LeafBrew Chai Latte Mix 10ct | LeafBrew | Buy Online,LeafBrew Spiced chai tea latte mix with real cinnamon and cardamom Perfect for the whole family! Great value. | Price: $6.49 | Size: 10 CT | Category: Home > Shop > Food > Beverages | Allergens: Contains milk | Rating: 3.2/5 (14 reviews) | 
SCR-0030,FreshSqueeze Cranberry Juice Cocktail 64oz | FreshSqueeze | Buy Online,"FreshSqueeze Cranberry juice cocktail from concentrate, 27% juice Perfect for the whole family! Great value. | Price: $3.49 | Size: 64fl oz | Category: Home > Shop > Food > Beverages | Allergens: Not listed | Rating: 4.1/5 (111 reviews) | "
SCR-0031,CrunchCraft Sea Salt Kettle Chips 7oz | CrunchCraft | Buy Online,"CrunchCraft Hand-cooked potato chips with sea salt, small batch crafted Perfect for the whole family! Great value. | Price: $3.99 | Size: 7 OZ | Category: Home > Shop > Food > Snacks | Allergens: No major allergens. Made in a facility that processes milk | Rating: 4.8/5 (205 reviews) | "
SCR-0032,CrunchCraft BBQ Chips 9oz | CrunchCraft | Buy Online,CRUNCHCRAFT Bold barbecue flavored ridged potato chips Perfect for the whole family! Great value. | Price: $5.84 | Size: 9oz | Category: Home > Shop > Food > Snacks | Allergens: Contains milk | Rating: 3.0/5 (205 reviews) | 
SCR-0033,NutHouse Roasted Almonds 12oz | NutHouse | Buy Online,"Nuthouse Dry roasted whole almonds, lightly salted Perfect for the whole family! Great value. | Price: $7.99 | Size: 12oz | Category: Home > Shop > Food > Snacks | Allergens: Contains tree nuts (almonds) | Rating: 4.9/5 (63 reviews) | "
SCR-0034,NutHouse Trail Mix Classic 16oz | NutHouse | Buy Online,"NutHouse Peanuts, raisins, sunflower seeds, M&Ms, and almonds Perfect for the whole family! Great value. | Price: $6.49 | Size: 16oz | Category: Home > Shop > Food > Snacks | Allergens: Not listed | Rating: 4.1/5 (63 reviews) | "
SCR-0035,DarkBliss 72% Dark Chocolate Bar 3.5oz | DarkBliss | Buy Online,"DarkBliss Premium dark chocolate, 72% cacao, single origin Ghana Perfect for the whole family! Great value. | Price: $4.99 | Size: 3.5 OZ | Category: Home > Shop > Food > Snacks | Allergens: Contains milk and soy (lecithin) | Rating: 4.8/5 (270 reviews) | "
SCR-0036,DarkBliss Milk Chocolate Almonds 5oz | DarkBliss | Buy Online,"DarkBliss Roasted almonds coated in smooth milk chocolate Perfect for the whole family! Great value. | Price: $5.49 | Size: 5 oz | Category: Home > Shop > Food > Snacks | Allergens: Contains milk, tree nuts (almonds), and soy | Rating: 4.7/5 (270 reviews) | "
SCR-0037,CrunchCraft Multigrain Tortilla Chips 10oz | CrunchCraft | Buy Online,CrunchCraft Baked multigrain tortilla chips with flax and quinoa Perfect for the whole family! Great value. | Price: $4.29 | Size: 10oz | Category: Home > Shop > Food > Snacks | Allergens: Not listed | Rating: 3.7/5 (205 reviews) | Best Seller
SCR-0038,NutHouse Cashews Salted 10oz | NutHouse | Buy Online,"NutHouse Whole fancy cashews, roasted and salted Perfect for the whole family! Great value. | Price: $8.99 | Size: 10oz | Category: Home > Shop > Food > Snacks | Allergens: Not listed | Rating: 3.8/5 (63 reviews) | SALE - Save 20%!"
SCR-0039,DarkBliss White Chocolate Raspberry Bar 3oz | DarkBliss | Buy Online,DarkBliss Creamy white chocolate with freeze-dried raspberry pieces Perfect for the whole family! Great value. | Price: $4.49 | Size: 3oz | Category: Home > Shop > Food > Snacks | Allergens: Not listed | Rating: 4.1/5 (270 reviews) | 
SCR-0040,CrunchCraft Pretzel Thins 8oz | CrunchCraft | Buy Online,"CRUNCHCRAFT Thin and crispy pretzel crackers, baked not fried Perfect for the whole family! Great value. | Price: $4.54 | Size: 8 OZ | Category: Home > Shop > Food > Snacks | Allergens: Contains wheat (gluten) | Rating: 4.0/5 (205 reviews) | "
SCR-0041,CleanHome All-Purpose Cleaner 32oz | CleanHome | Buy Online,"CleanHome Multi-surface spray cleaner with lavender scent, plant-based formula Perfect for the whole family! Great value. | Price: $4.49 | Size: 32 fl oz | Category: Home > Shop > Household > Cleaning | Allergens: Not a food product | Rating: 3.1/5 (97 reviews) | "
SCR-0042,CleanHome Dish Soap Lemon 22oz | CleanHome | Buy Online,"CleanHome Concentrated dishwashing liquid, cuts through grease Perfect for the whole family! Great value. | Price: $3.29 | Size: 22 fl oz | Category: Home > Shop > Household > Cleaning | Allergens: Not a food product | Rating: 3.9/5 (97 reviews) | "
SCR-0043,FreshGlow Moisturizing Shampoo 12oz | FreshGlow | Buy Online,FreshGlow Sulfate-free hydrating shampoo for dry and damaged hair Perfect for the whole family! Great value. | Price: $6.99 | Size: 12fl oz | Category: Home > Shop > Personal Care > Hair Care | Allergens: Not a food product | Rating: 3.3/5 (70 reviews) | 
SCR-0044,FreshGlow Conditioner Repair 12oz | FreshGlow | Buy Online,FRESHGLOW Deep conditioning treatment for damaged hair Perfect for the whole family! Great value. | Price: $7.49 | Size: 12fl oz | Category: Home > Shop > Personal Care > Hair Care | Allergens: Not listed | Rating: 4.5/5 (70 reviews) | Best Seller
SCR-0045,FreshGlow Bar Soap Oatmeal 4pk | FreshGlow | Buy Online,FreshGlow Gentle oatmeal bar soap for sensitive skin Perfect for the whole family! Great value. | Price: $4.99 | Size: 4 ct | Category: Home > Shop > Personal Care > Body Care | Allergens: Not a food product | Rating: 3.9/5 (70 reviews) | 
SCR-0046,FrostBite Pepperoni Pizza 2pk | FrostBite | Buy Online,"FrostBite Thin crust pepperoni pizza with mozzarella and tomato sauce Perfect for the whole family! Great value. | Price: $7.99 | Size: 2ct | Category: Home > Shop > Food > Frozen | Allergens: Contains wheat (gluten), milk, and soy | Rating: 3.4/5 (160 reviews) | "
SCR-0047,FrostBite Chicken Tenders 24oz | FrostBite | Buy Online,"FrostBite Breaded chicken breast tenders, fully cooked Perfect for the whole family! Great value. | Price: $8.49 | Size: 24oz | Category: Home > Shop > Food > Frozen | Allergens: Not listed | Rating: 3.4/5 (160 reviews) | SALE - Save 20%!"
SCR-0048,FrostBite Vanilla Ice Cream 48oz | FrostBite | Buy Online,FROSTBITE Premium vanilla bean ice cream made with real vanilla Perfect for the whole family! Great value. | Price: $7.79 | Size: 48fl oz | Category: Home > Shop > Food > Frozen | Allergens: Contains milk and eggs | Rating: 3.0/5 (160 reviews) | 
SCR-0049,FrostBite Mixed Vegetables 16oz | FrostBite | Buy Online,"FrostBite Flash-frozen mixed vegetables: corn, peas, carrots, green beans Perfect for the whole family! Great value. | Price: $2.49 | Size: 16 oz | Category: Home > Shop > Food > Frozen | Allergens: No major allergens | Rating: 4.3/5 (160 reviews) | "
SCR-0050,FrostBite Fish Sticks 12ct | FrostBite | Buy Online,"FrostBite Wild-caught pollock fish sticks, breaded and pre-cooked Perfect for the whole family! Great value. | Price: $5.99 | Size: 12ct | Category: Home > Shop > Food > Frozen | Allergens: Contains wheat (gluten) and fish | Rating: 3.3/5 (160 reviews) | "
SCR-0051,HearthBaked Whole Wheat Bread 20oz | HearthBaked | Buy Online,"HEARTHBAKED 100% whole wheat sandwich bread, no high fructose corn syrup Perfect for the whole family! Great value. | Price: $3.99 | Size: 20 oz | Category: Home > Shop > Food > Bakery | Allergens: Contains wheat (gluten) and soy | Rating: 3.5/5 (24 reviews) | "
SCR-0052,HearthBaked Sourdough Loaf 24oz | HearthBaked | Buy Online,HearthBaked Artisan sourdough bread with traditional 24-hour fermentation Perfect for the whole family! Great value. | Price: $4.99 | Size: 24oz | Category: Home > Shop > Food > Bakery | Allergens: Not listed | Rating: 4.1/5 (24 reviews) | 
SCR-0053,HearthBaked Everything Bagels 6ct | HearthBaked | Buy Online,"HearthBaked New York style everything bagels with sesame, poppy, garlic, onion Perfect for the whole family! Great value. | Price: $4.49 | Size: 6ct | Category: Home > Shop > Food > Bakery | Allergens: Not listed | Rating: 4.9/5 (24 reviews) | "
SCR-0054,HearthBaked Blueberry Muffins 4ct | HearthBaked | Buy Online,"HEARTHBAKED Bakery-style blueberry muffins with real blueberries Perfect for the whole family! Great value. | Price: $7.14 | Size: 4 CT | Category: Home > Shop > Food > Bakery | Allergens: Contains wheat (gluten), milk, soy, and eggs | Rating: 4.0/5 (24 reviews) | "
SCR-0055,HearthBaked Flour Tortillas 10ct | HearthBaked | Buy Online,"HearthBaked Soft flour tortillas, burrito size Perfect for the whole family! Great value. | Price: $3.79 | Size: 10ct | Category: Home > Shop > Food > Bakery | Allergens: Not listed | Rating: 3.4/5 (24 reviews) | SALE - Save 20%!"
SCR-0056,PrimeCut Ground Beef 85/15 1lb | PrimeCut | Buy Online,"PrimeCut Fresh ground beef, 85% lean 15% fat Perfect for the whole family! Great value. | Price: $6.99 | Size: 16oz | Category: Home > Shop > Food > Meat & Poultry | Allergens: Not listed | Rating: 3.8/5 (201 reviews) | SALE - Save 20%!"
SCR-0057,PrimeCut Boneless Chicken Breast 1.5lb | PrimeCut | Buy Online,PrimeCut All-natural boneless skinless chicken breasts Perfect for the whole family! Great value. | Price: $8.49 | Size: 24oz | Category: Home > Shop > Food > Meat & Poultry | Allergens: No major allergens | Rating: 3.8/5 (201 reviews) | 
SCR-0058,PrimeCut Thick Cut Bacon 16oz | PrimeCut | Buy Online,"PRIMECUT Hickory smoked thick-cut bacon, naturally cured Perfect for the whole family! Great value. | Price: $9.74 | Size: 16oz | Category: Home > Shop > Food > Meat & Poultry | Allergens: Not listed | Rating: 3.0/5 (201 reviews) | SALE - Save 20%!"
SCR-0059,PrimeCut Italian Sausage Links 5ct | PrimeCut | Buy Online,PrimeCut Sweet Italian pork sausage with fennel and herbs Perfect for the whole family! Great value. | Price: $5.99 | Size: 5ct | Category: Home > Shop > Food > Meat & Poultry | Allergens: No major allergens | Rating: 3.3/5 (201 reviews) | 
SCR-0060,PrimeCut Sliced Turkey Deli Meat 8oz | PrimeCut | Buy Online,"PrimeCut Oven-roasted turkey breast, sliced thin for sandwiches Perfect for the whole family! Great value. | Price: $4.99 | Size: 8oz | Category: Home > Shop > Food > Meat & Poultry | Allergens: Not listed | Rating: 3.8/5 (201 reviews) | SALE - Save 20%!"
SCR-0015-DUP,CreamValley Vanilla Bean Yogurt 6oz | CreamValley | Best Price | Free Ship,CREAMVALLEY Smooth and creamy vanilla bean low-fat yogurt Perfect for the whole family! Ships free over $35! | Price: $1.55 | Size: 6 OZ | Category: Deals > Grocery > Food > Dairy | Allergens: Not listed | Rating: 4.0/5 (300 reviews) | SALE - Save 20%!
SCR-0019-DUP,CreamValley Cottage Cheese 16oz | CreamValley | Best Price | Free Ship,"CREAMVALLEY Small curd cottage cheese, 4% milkfat Perfect for the whole family! Ships free over $35! | Price: $5.19 | Size: 16oz | Category: Deals > Grocery > Food > Dairy | Allergens: Not listed | Rating: 3.0/5 (300 reviews) | "
SCR-0026-DUP,LeafBrew English Breakfast Tea 40ct | LeafBrew | Best Price | Free Ship,"LEAFBREW Full-bodied black tea blend, classic morning tea Perfect for the whole family! Ships free over $35! | Price: $7.79 | Size: 40 CT | Category: Deals > Grocery > Food > Beverages | Allergens: Not listed | Rating: 4.0/5 (14 reviews) | "
SCR-0027-DUP,FreshSqueeze Lemonade 52oz | FreshSqueeze | Best Price | Free Ship,FRESHSQUEEZE Old-fashioned lemonade made with real lemons and cane sugar Perfect for the whole family! Ships free over $35! | Price: $4.93 | Size: 52fl oz | Category: Deals > Grocery > Food > Beverages | Allergens: Not listed | Rating: 3.0/5 (111 reviews) | SALE - Save 20%!
SCR-0032-DUP,CrunchCraft BBQ Chips 9oz | CrunchCraft | Best Price | Free Ship,CRUNCHCRAFT Bold barbecue flavored ridged potato chips Perfect for the whole family! Ships free over $35! | Price: $5.84 | Size: 9oz | Category: Deals > Grocery > Food > Snacks | Allergens: Not listed | Rating: 3.0/5 (205 reviews) | 
SCR-0040-DUP,CrunchCraft Pretzel Thins 8oz | CrunchCraft | Best Price | Free Ship,"CRUNCHCRAFT Thin and crispy pretzel crackers, baked not fried Perfect for the whole family! Ships free over $35! | Price: $4.54 | Size: 8 OZ | Category: Deals > Grocery > Food > Snacks | Allergens: Not listed | Rating: 4.0/5 (205 reviews) | "
SCR-0048-DUP,FrostBite Vanilla Ice Cream 48oz | FrostBite | Best Price | Free Ship,FROSTBITE Premium vanilla bean ice cream made with real vanilla Perfect for the whole family! Ships free over $35! | Price: $7.79 | Size: 48fl oz | Category: Deals > Grocery > Food > Frozen | Allergens: Not listed | Rating: 3.0/5 (160 reviews) | 
SCR-0054-DUP,HearthBaked Blueberry Muffins 4ct | HearthBaked | Best Price | Free Ship,HEARTHBAKED Bakery-style blueberry muffins with real blueberries Perfect for the whole family! Ships free over $35! | Price: $7.14 | Size: 4 CT | Category: Deals > Grocery > Food > Bakery | Allergens: Not listed | Rating: 4.0/5 (24 reviews) | 
SCR-0058-DUP,PrimeCut Thick Cut Bacon 16oz | PrimeCut | Best Price | Free Ship,"PRIMECUT Hickory smoked thick-cut bacon, naturally cured Perfect for the whole family! Ships free over $35! | Price: $9.74 | Size: 16oz | Category: Deals > Grocery > Food > Meat & Poultry | Allergens: Not listed | Rating: 3.0/5 (201 reviews) | SALE - Save 20%!"
